date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2001-04-15,Province No. 1,DHANKUTA,Dhankuta,647,26.98,87.33,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,17.1,0.24
2001-04-15,Province No. 1,DHANKUTA,Dhankuta,647,26.98,87.33,cereals and tubers,Wheat flour,58,KG,actual,Retail,NPR,19,0.27
2001-04-15,Province No. 1,ILAM,Ilam,649,26.91,87.94,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,13.5,0.19
2001-04-15,Province No. 1,ILAM,Ilam,649,26.91,87.94,cereals and tubers,Wheat flour,58,KG,actual,Retail,NPR,16,0.22
2001-04-15,Province No. 1,JHAPA,Jhapa,661,26.48,87.85,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,13.37,0.19
2001-04-15,Province No. 1,JHAPA,Jhapa,661,26.48,87.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,NPR,14,0.2
2001-04-15,Province No. 2,DHANUSHA,Dhanusha,660,26.74,85.93,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,12,0.17
2001-04-15,Province No. 5,BANKE,Banke,658,28.03,81.62,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,12,0.17
2001-04-15,Province No. 5,BANKE,Banke,658,28.03,81.62,cereals and tubers,Wheat flour,58,KG,actual,Retail,NPR,12,0.17
2001-04-15,Province No. 5,PALPA,Tansen,3900,27.87,83.52,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,12.5,0.17
2001-04-15,Province No. 5,ROLPA,Rolpa,655,28.32,82.63,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,15,0.21
2001-04-15,Province No. 5,RUPANDEHI,Rupandehi,665,27.48,83.28,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,13,0.18
2001-04-15,Province No. 6,JUMLA,Jumla,650,29.28,82.17,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,48.6,0.68
2001-04-15,Province No. 6,JUMLA,Jumla,650,29.28,82.17,cereals and tubers,Wheat flour,58,KG,actual,Retail,NPR,46,0.64
2001-04-15,Province No. 6,SURKHET,Surkhet,657,28.6,81.6,cereals and tubers,Rice (coarse),60,KG,actual,Retail,NPR,14.55,0.2
2001-04-15,Province No. 6,SURKHET,Surkhet,657,28.6,81.6,cereals and tubers,Wheat flour,58,KG,actual,Retail,NPR,14.15,0.2
2001-04-15,Province No. 7,KAILALI,Kailali,662,28.57,80.78,cereals and tubers,Wheat flour,58,KG,actual,Retail,NPR,11,0.15
